ID,WAR,ERA,WHIP,WPA,K-BB%,BABIP,LOB%,IP/G,P/PA,RAA,RAR,WAA,Fastball,Slider,Curve,ChangeUP,Splitter,Sinker,Knurkle
LG-64,0.07,0.0,0.5,0.0,14.3,0.16699999999999998,100.0,1.0,4.0,1.07,0.7,0.04,1.3,-0.1,-0.1,0.0,0.0,0.0,0.0
NC-41,0.02,2.92,2.03,-0.04,0.0,0.366,64.0,1.0,4.05,-1.27,0.56,-0.14,-3.8,-1.4,0.0,1.5,0.0,0.0,0.0
·Ôµ¥-55,-0.16,11.57,3.43,-0.34,-3.4,0.529,68.5,0.7,3.83,-2.87,-1.47,-0.22,-3.7,-5.7,0.0,-0.4,0.0,0.0,0.0
»ï¼º-18,0.29,2.57,1.36,0.03,11.1,0.268,75.6,0.9,4.44,1.93,4.29,0.1,0.4,0.4,2.9,-0.2,0.0,0.0,0.0
SSG-42,0.93,3.29,1.15,-0.13,6.8,0.252,60.9,5.5,4.09,5.14,11.51,0.42,0.1,2.3,-1.0,3.5,0.0,-1.7,0.0
Å°¿ò-97,-0.36,81.0,12.0,-0.05,-25.0,0.625,0.0,0.3,3.58,-8.82,-4.93,-0.37,-5.9,-1.2,0.0,0.0,0.0,0.0,0.0
LG-26,0.12,5.11,1.3,-0.11,12.9,0.273,64.7,4.9,4.37,-1.61,2.82,-0.21,0.5,1.4,-1.7,-0.5,0.0,0.0,0.0
KT-19,0.98,2.89,1.42,0.47,5.6,0.273,76.2,5.3,4.21,5.73,11.9,0.48,2.7,3.4,0.0,-0.8,0.0,0.0,0.0
KIA-63,-0.08,27.0,6.0,-0.03,-42.9,0.33299999999999996,60.0,0.7,5.0,-1.57,-0.96,-0.09,-1.1,-0.1,0.0,-0.1,0.0,-0.1,0.0
Å°¿ò-42,-0.28,27.0,3.75,-0.22,0.0,0.539,31.3,2.7,3.21,-6.59,-4.11,-0.31,-2.0,-3.2,-1.2,0.0,-1.8,0.0,0.0
LG-60,0.04,0.0,2.0,0.0,0.0,0.5,100.0,1.0,4.25,0.55,0.37,0.02,0.6,0.0,0.0,0.0,0.0,0.0,0.0
ÇÑÈ­-37,-0.08,7.36,2.05,-0.14,-8.3,0.28,73.8,0.9,3.64,-1.76,-0.38,-0.18,-2.9,-1.5,0.0,1.0,-0.2,0.0,0.0
